====================================================
 WISP-FLOW INVENTORY — FULL CLEANED SPECIMEN LIST
====================================================
Total DB rows fetched : 3402
Unique specimens      : 1447
Total units in stock  : 39,433
----------------------------------------------------
Out of Stock (0)      : 749
Low Stock    (1-19)   : 308
Medium Stock (20-49)  : 176
High Stock   (50+)    : 214
====================================================

#    | Scientific Name                              | Qty   | Condition    | Family
 232 | Catopsilia pomona                            |     0 | Out of Stock | -
 233 | Catopsilia pyrante                           |   100 | High         | -
 234 | Catopsilia rurina                            |     0 | Out of Stock | -
 235 | Catopsilia scylla                            |     0 | Out of Stock | -
 236 | Catopsilia statira                           |     0 | Out of Stock | -
 237 | Catoxantha opulenta                          |     6 | Out of Stock | Buprestidae
 238 | Celidota splendens                           |     0 | Out of Stock | Cetonidae
 239 | Celosterna pollinasa                         |    25 | Medium       | Cerambycidae
 240 | Centipede sp                                 |     0 | Out of Stock | -
 241 | Cephonodes hyles                             |     0 | Out of Stock | -
 242 | Cepora boisdiwaliana                         |    30 | Medium       | -
 243 | Cepora nadina                                |     0 | Out of Stock | -
 244 | Cepora nerissa                               |     9 | Medium       | -
 245 | Cerpona imperialis                           |     0 | Out of Stock | -
 246 | Cethosia biblis                              |   200 | High         | -
 247 | Cethosia chrysippe                           |     0 | Out of Stock | -
 248 | Cethosia hypsea                              |     5 | Medium       | Nymphalidae
 249 | Cethosia lamarki                             |     0 | Out of Stock | -
 250 | Chalcolepidius lacordairei                   |     0 | Out of Stock | Elateridae
 251 | Chalcophoropsis quadrifoveolata              |     0 | Out of Stock | Cetonidae
 252 | Chalcoprotaetia franzi                       |     0 | Out of Stock | Cetonidae
 253 | Chalcosia phalaenaria                        |     0 | Out of Stock | -
 254 | Chalcosoma atlas                             |    50 | Out of Stock | Dynastinae
 255 | Chalcosoma attacus                           |     9 | Medium       | Dynastinae
 256 | Chalcosoma bettles                           |    50 | Out of Stock | Dynastinae
 257 | Chalcosoma caucasus                          |     0 | Out of Stock | Dynastinae
 258 | Chalcothea affinis                           |     0 | Out of Stock | Buprestidae
 259 | Chalcothea neglecta                          |    45 | Medium       | Cetonidae
 260 | Chalcothea resplendens                       |    28 | Medium       | Cetonidae
 261 | Charaxes amanda                              |    10 | Medium       | -
 262 | Charaxes ameliae                             |     0 | Out of Stock | -
 263 | Charaxes bernadus                            |     0 | Out of Stock | -
 264 | Charaxes bipunctatus                         |     2 | Low          | -
 265 | Charaxes brutus                              |   131 | High         | -
 266 | Charaxes cacuthis                            |     2 | Low          | -
 267 | Charaxes candiope                            |    10 | Medium       | -
 268 | Charaxes cynthia                             |   180 | High         | -
 269 | Charaxes etesipe                             |   140 | High         | -
 270 | Charaxes etheocles                           |    11 | Medium       | -
 271 | Charaxes eupale                              |   728 | High         | -
 272 | Charaxes kahldeni                            |     0 | Out of Stock | -
 273 | Charaxes latona                              |     0 | Out of Stock | Nymphalidae
 274 | Charaxes lucretius                           |    68 | High         | -
 275 | Charaxes mars                                |    20 | Medium       | -
 276 | Charaxes nitebis                             |     0 | Out of Stock | -
 277 | Charaxes noblis                              |     2 | Low          | -
 278 | Charaxes numenes                             |     3 | Low          | -
 279 | Charaxes paphianus                           |    20 | Medium       | -
 280 | Charaxes pleione                             |     0 | Out of Stock | -
 281 | Charaxes pollux                              |     3 | Out of Stock | -
 282 | Charaxes protoclea                           |    21 | Medium       | -
 283 | Charaxes smaragdalis                         |    11 | Medium       | -
 284 | Charaxes subornatus                          |    67 | High         | -
 285 | Charaxes tiridates                           |   145 | High         | -
 286 | Charaxes zelica                              |     0 | Out of Stock | -
 287 | Charaxes zingha                              |     4 | Out of Stock | -
 288 | Charon grayi                                 |     0 | Out of Stock | Phrynidae
 289 | Cheirotonus gastroi                          |     0 | Out of Stock | Cerambycidae
 290 | Cheirotonus macleayi                         |     0 | Out of Stock | Cerambycidae
 291 | Chernesonesometrus fulvipes                  |     0 | Out of Stock | Scorpiones
 292 | Chersonesia intermedia                       |    12 | Medium       | -
 293 | Chilasa clytia                               |     0 | Out of Stock | -
 294 | Chilasa veiovis                              |    18 | Medium       | -
 295 | Chilobrachys maculata                        |     0 | Out of Stock | Theraphosidae
 296 | Chloridolum itoi                             |     0 | Out of Stock | Cerambycidae
 297 | Chondracris rosea                            |    24 | Out of Stock | -
 298 | Chroninea sylphina                           |   120 | Out of Stock | -
 299 | Chrysina aurigans                            |     5 | Medium       | Cetonidae
 300 | Chrysina aurora                              |     2 | Low          | Cetonidae
 301 | Chrysina chrysarginea                        |     3 | Low          | Cetonidae
 302 | Chrysina erubescens                          |     5 | Medium       | Cetonidae
 303 | Chrysiridia ripheria                         |  2115 | Out of Stock | -
 304 | Chrysochlora chrysochlora                    |    30 | Medium       | Scarabeidae
 305 | Chrysochlora chrysochlora (F)                |    35 | Medium       | Scarabeidae
 306 | Chrysochlora chrysochlora (M)                |    75 | High         | Scarabeidae
 307 | Chrysochlora Chrysochlora fem                |    26 | Medium       | Buprestidae
 308 | Chrysochlora Chrysochlora male               |    45 | Out of Stock | Buprestidae
 309 | Chrysochroa aurora                           |   160 | Out of Stock | Buprestidae
 310 | Chrysochroa b. rugicollis                    |    72 | High         | Buprestidae
 311 | Chrysochroa baudoni                          |     0 | Out of Stock | Buprestidae
 312 | Chrysochroa blue                             |    60 | Out of Stock | Buprestidae
 313 | Chrysochroa buqueti                          |    45 | Medium       | Buprestidae
 314 | Chrysochroa castelnaudi                      |   125 | High         | Buprestidae
 315 | Chrysochroa chinensis                        |     0 | Out of Stock | Buprestidae
 316 | Chrysochroa corbetti                         |     0 | Out of Stock | Buprestidae
 317 | Chrysochroa edwardsii                        |     0 | Out of Stock | Buprestidae
 318 | Chrysochroa ephippegera                      |     0 | Out of Stock | Buprestidae
 319 | Chrysochroa fulgens                          |     0 | Out of Stock | Buprestidae
 320 | Chrysochroa fulminans                        |   120 | High         | Buprestidae
 321 | Chrysochroa fulminans  (blue)                |    92 | Out of Stock | Buprestidae
 322 | Chrysochroa kawamurai                        |     0 | Out of Stock | Buprestidae
 323 | Chrysochroa mnizenshi                        |     5 | Medium       | Buprestidae
 324 | Chrysochroa ocellata                         |     0 | Out of Stock | Buprestidae
 325 | Chrysochroa P.maronae                        |     0 | Out of Stock | Buprestidae
 326 | Chrysochroa purpureiventris                  |    45 | Medium       | Buprestidae
 327 | Chrysochroa rajah                            |    45 | Medium       | Buprestidae
 328 | Chrysochroa rugicollis                       |     0 | Out of Stock | Buprestidae
 329 | Chrysochroa saundersii                       |    24 | Medium       | Buprestidae
 330 | Chrysochroa vittata                          |     0 | Out of Stock | Buprestidae
 331 | Chrysochroa wallacei                         |    34 | Medium       | Buprestidae
 332 | Chrysodema foraminifera                      |    50 | Out of Stock | Buprestidae
 333 | Chrysodema impressicollis                    |   100 | High         | Buprestidae
 334 | Chrysodema radians                           |    45 | Out of Stock | Buprestidae
 335 | Chrysodema smaragdula                        |    15 | Out of Stock | Buprestidae
 336 | Chrysodema sp                                |    99 | High         | Buprestidae
 337 | Chrysodema sp.                               |   130 | High         | Cetonidae
 338 | Chrysolina coerulans                         |    22 | Medium       | Chrysomelidae
 339 | Chrysophora chrychlora                       |     0 | Out of Stock | Buprestidae
 340 | Chrysophora chrysochlora                     |    40 | Medium       | Scarabeidae
 341 | Chrysophora toulgeti                         |    10 | Medium       | Buprestidae
 342 | Cicada sp.                                   |    95 | High         | -
 343 | Cicadas speciosa                             |     0 | Out of Stock | -
 344 | Cirrochroa emalea                            |     0 | Out of Stock | -
 345 | Cithaerias aurorina                          |   140 | High         | Nymphalidae
 346 | Citharognathus                               |     0 | Out of Stock | Theraphosidae
 347 | Citharognathus tongmianesis                  |    12 | Out of Stock | Theraphosidae
 348 | Cladognathus confucius                       |     0 | Out of Stock | Lucanidae
 349 | Cladognathus giraffa                         |     0 | Out of Stock | Lucanidae
 350 | Clavata mizunumai                            |     0 | Out of Stock | -
 351 | Clerota rigifica                             |     0 | Out of Stock | Cetonidae
 352 | Coelorhina babauti female                    |    11 | Medium       | Cetonidae
